exercise_name,chest,frontdelt,sidedelt,tricep,upperback,midback,lowerback,lat,bicep,reardelt,quad,hamstring,calf,push,pull,legs,total
Bench press,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3
Incline bench press,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3
Decline bench press,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3
Supported bench press,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3
Supported incline bench press,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3
Supported decline bench press,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3
Vectra bench press,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3
Vectra incline bench press,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3
Vectra decline bench press,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3
Press-ups,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3
Incline press-ups,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3
Decline press-ups,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3
Push chest,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Dumbbell chest press,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Flys,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Upper cable fly,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Lower cable fly,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Sitting upper cable fly,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Shoulder press,0,1,1,1,1,0,0,0,0,0,0,0,0,3,1,0,4
Sitting dumbbell press,0,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,3
Supported shoulder press,0,1,1,1,1,0,0,0,0,0,0,0,0,3,1,0,4
Push shoulders,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Standing dumbbell press,0,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,3
Lateral raise,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Sitting lateral raise,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Lateral bench machine,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Delt fly,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Nutmeg delt fly,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Tricep machine,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Tricep pushdown,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Two-rope tricep pushdown,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Tricep overhead cable,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Supported tricep dips,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Deadlift,0,0,0,0,1,1,1,0,0,0,1,1,1,0,3,3,6
Supported deadlift,0,0,0,0,1,1,1,0,0,0,1,1,1,0,3,3,6
Hexagon deadlift,0,0,0,0,1,0,1,0,0,0,1,1,1,0,2,3,5
Bent over row,0,0,0,0,1,1,0,1,1,1,0,0,0,0,5,0,5
